Inventory,Qty,Amount,% of Sales,Avg Price,COGS,Avg COGS,Gross Margin,Gross Margin %
Q106 (STOCKING WIG-CAP (400 PC) : BLACK (PK/16PK)),103.00,"3,902.00",0.0%,37.88,"1,979.95",19.22,"1,922.05",49.26%
Q107 (STOCKING WIG-CAP (400 PC) : BEIGE(NTR) (PK/16PK)),65.00,"2,444.00",0.0%,37.60,"1,235.00",19.00,"1,209.00",49.47%
Q108 (BRAID CYLINDER : BLACK (DZ/48 DZ)),125.00,564.00,0.0%,4.51,224.83,1.80,339.17,60.14%
Q109 (BRAID CYLINDER : BROWN (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q110 (MESH-WRAP (LG) : ASSORTED (DZ/48 DZ)),180.00,"1,084.00",0.0%,6.02,507.52,2.82,576.48,53.18%
Q111 (MESH-WRAP (LG) : BLACK (DZ/48 DZ)),321.00,"1,942.00",0.0%,6.05,933.85,2.91,"1,008.15",51.91%
Q114 (UNDA CAP (3 PC) : WHITE (DZ/60 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q115 (UNDA CAP (3 PC) : PINK (DZ/60 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q116 (UNDA CAP (3 PC) : BLUE (DZ/60 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q117 (UNDA CAP (100 PC) : WHITE (BOX/24 BOX)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q118 (UNDA CAP (100 PC) : PINK (BOX/24 BOX)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q119 (UNDA CAP (100 PC) : BLUE (BOX/24 BOX)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q120 (SUPER JUMBO SLEEP-CAP : ASSORT (DZ/24 DZ)),119.00,"1,379.00",0.0%,11.59,542.02,4.55,836.98,60.7%
Q121 (SUPER JUMBO SLEEP-CAP : BLACK (DZ/24 DZ)),141.00,"1,635.50",0.0%,11.60,665.05,4.72,970.45,59.34%
Q122 (SUPER JUMBO BONNET : ASSORT (DZ/24 DZ)),90.00,"1,049.00",0.0%,11.66,409.50,4.55,639.50,60.96%
Q123 (SUPER JUMBO BONNET : BLACK (DZ/24 DZ)),120.00,"1,390.50",0.0%,11.59,565.04,4.71,825.46,59.36%
Q124 (DRAWSTRING SLEEP CAP : ASSORT (DZ/48DZ)),135.00,"1,221.00",0.0%,9.04,502.95,3.73,718.05,58.81%
Q125 (DRAWSTRING SLEEP CAP : BLACK (DZ/48DZ)),261.00,"2,358.00",0.0%,9.03,993.17,3.81,"1,364.83",57.88%
Q126 (XL STOCKING WIG-CAP (2PCS) : BK (DZ/60 DZ)),542.00,"1,913.00",0.0%,3.53,883.24,1.63,"1,029.76",53.83%
Q127 (XL STOCKING WIG CAP(200PCS) : BK (PK/24PK)),6.00,114.00,0.0%,19.00,0.00,0.00,114.00,100.0%
Q129 (MAGIC-SCARF : ASSORT (DZ/16 DZ)),60.00,"1,086.00",0.0%,18.10,541.88,9.03,544.12,50.1%
Q130 (MAGIC-SCARF : BLACK (DZ/16 DZ)),62.00,"1,236.00",0.0%,19.94,559.97,9.03,676.03,54.7%
Q131 (MAGIC-SCARF : WHITE (DZ/16 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q140 (LADY DURAG : ASSORTED (DZ/20 DZ)),8.00,100.50,0.0%,12.56,48.32,6.04,52.18,51.92%
Q141 (LADY DURAG : BLACK (DZ/20 DZ)),27.00,324.00,0.0%,12.00,162.83,6.03,161.17,49.74%
Q142 (STOCKING WIG-CAP (2 PC) : D/BRW (DZ/60 DZ)),291.00,897.00,0.0%,3.08,433.59,1.49,463.41,51.66%
Q143 (STOCKING WIG-CAP (2 PC) : AUBURN (DZ/60 DZ)),"1,914.00","5,779.50",0.0%,3.02,"2,925.75",1.53,"2,853.75",49.38%
Q144 (STOCKING WIG-CAP (2 PC) : CREAM (BLD) (DZ/60 DZ)),309.00,934.50,0.0%,3.02,460.41,1.49,474.09,50.73%
Q150 (SATIN SLEEP-CAP(LG) : ASSORTED (DZ/36 DZ)),297.00,"2,542.00",0.0%,8.56,904.80,3.05,"1,637.20",64.41%
Q151 (SATIN SLEEP-CAP(LG) : BLACK (DZ/36 DZ)),630.00,"5,372.50",0.0%,8.53,"1,938.36",3.08,"3,434.14",63.92%
Q152 (SATIN SLEEP-CAP(XL) : ASSORTED (DZ/36 DZ)),109.00,981.00,0.0%,9.00,376.82,3.46,604.18,61.59%
