MainCode,Description,Color,Size,Unit,OnHand,Price1,Bin#,MainCode2,Price2,Price3,Price4,Price5
W1275,WEAVING THREAD 1000Y : BLACK,BLACK,1000Y,PC,220,$1.50 ,L4,,$2.00 ,$3.00 ,$0.00 ,$0.00 
W1276,WEAVING THREAD 2000Y : BLACK,BLACK,2000Y,PC,452,$2.25 ,L4,,$3.00 ,$4.50 ,$0.00 ,$0.00 
W1277,"WEAVING THREAD 60Y, NYLON : BLACK",BLACK,60Y,DZ,898,$2.50 ,L4,,$3.60 ,$5.00 ,$0.00 ,$0.00 
W1278,"WEAVING THREAD 150Y, NYLON : BLACK",BLACK,150Y,DZ,193,$6.00 ,L4,,$8.50 ,$12.00 ,$0.00 ,$0.00 
W1279,"WEAVING THREAD 400Y, NYLON : BLACK",BLACK,400Y,DZ,4,$16.50 ,L4,,$24.00 ,$33.00 ,$0.00 ,$0.00 
W1280,"WEAVING THREAD 1000Y, NYLON : BLACK",BLACK,1000Y,PC,106,$3.00 ,L4,,$4.00 ,$6.00 ,$0.00 ,$0.00 
W1281,"WIG CLIP BLISTER (24PC) : S, BLACK",BLACK,S,PK,0,$2.00 ,G12,,$2.50 ,$4.00 ,$0.00 ,$0.00 
W1282,"WIG CLIP BLISTER (24PC) : M, BLACK",BLACK,M,PK,0,$2.00 ,G12,,$2.50 ,$4.00 ,$0.00 ,$0.00 
W1283,"WIG CLIP BLISTER (24PC) : L, BLACK",BLACK,L,PK,0,$2.00 ,G12,,$2.50 ,$4.00 ,$0.00 ,$0.00 
W1284,"WIG CLIP BLISTER (24PC) : S, BROWN",BROWN,S,PK,0,$2.00 ,G12,,$2.50 ,$4.00 ,$0.00 ,$0.00 
W1285,"WIG CLIP BLISTER (24PC) : M, BROWN",BROWN,M,PK,0,$2.00 ,L13,,$2.50 ,$4.00 ,$0.00 ,$0.00 
W1286,"WIG CLIP BLISTER (24PC) : L, BROWN",BROWN,L,PK,0,$2.00 ,L13,,$2.50 ,$4.00 ,$0.00 ,$0.00 
W1287,"WIG CLIP BLISTER (24PC) : S, BLONDE",BLONDE,S,PK,0,$2.00 ,L13,,$2.50 ,$4.00 ,$0.00 ,$0.00 
W1288,"WIG CLIP BLISTER (24PC) : M, BLONDE",BLONDE,M,PK,0,$2.00 ,L13,,$2.50 ,$4.00 ,$0.00 ,$0.00 
W1289,"WIG CLIP BLISTER (24PC) : L, BLONDE",BLONDE,L,PK,0,$2.00 ,G13,,$2.50 ,$4.00 ,$0.00 ,$0.00 
W1291,"WIG CLIP BLISTER (60PC) : S, BLACK",BLACK,S,PK,0,$4.50 ,G13,,$6.00 ,$8.00 ,$0.00 ,$0.00 
W1292,"WIG CLIP BLISTER (60PC) : M, BLACK",BLACK,M,PK,0,$4.50 ,G13,,$6.00 ,$8.00 ,$0.00 ,$0.00 
W1293,"WIG CLIP BLISTER (60PC) : L, BLACK",BLACK,L,PK,0,$4.50 ,G13,,$6.00 ,$8.00 ,$0.00 ,$0.00 
W1294,"WIG CLIP BLISTER (60PC) : S, BROWN",BROWN,S,PK,30,$4.50 ,L13,,$6.00 ,$8.00 ,$0.00 ,$0.00 
W1295,"WIG CLIP BLISTER (60PC) : M, BROWN",BROWN,M,PK,34,$4.50 ,L13,,$6.00 ,$8.00 ,$0.00 ,$0.00 
